OBJECTID,COD_SIG,COD_SIG_ESTACIONAMENTO,MORADA,MORADA_DETALHE,FREGUESIA,LOCALIZACAO,TIPO_ESTACIONAMENTO,MODELO,NUM_SUPORTES,CAPACIDADE,COBERTO,BALIZADORES,DOMINIALIDADE,ESTACIONAMENTO_ESTADO,EQUIPAMENTO_SERVIDO,FONTE_LEVANTAMENTO,DATA_INSTALACAO,OBS,GlobalID,x,y
15000,298,298,"Rua Amélia Rey Colaço, 7
",Frente as Finanças,Benfica,Passeio,BICICLETA,Sheffield standard,3,6,Não,0,Público,Partilhado com Micromobilidade,Equipamento Adm. Pública - Finanças,DEPM,11/29/2018 12:00:00 AM,,2ec425f6-eea9-489b-92ab-940c529b6781,-1024568.9971222,4686303.9900312
15001,299,299,"Rua Jorge Barradas, 57
",Frente ao Meu Super,Benfica,Passeio,BICICLETA,Sheffield standard,3,6,Não,0,Público,Partilhado com Micromobilidade,Equipamento Comercial - Supermercado,DEPM,11/23/2018 12:00:00 AM,,4bea8ae4-cd80-4f1c-af65-b48a574daa26,-1024497.26176627,4686811.44314156
15002,300,300,Rua João Ortigão Ramos,Cemitério de Benfica,Benfica,Passeio,BICICLETA,Sheffield standard,3,6,Não,0,Público,Partilhado com Micromobilidade,Equipamento Funerário - Cemitério,DEPM,11/23/2018 12:00:00 AM,,a0318e81-1212-40f6-a25e-195ebc466703,-1024331.5548087,4686904.09830031
15003,301,301,"Rua da Quinta do Charquinho
",,Benfica,Passeio,BICICLETA,Sheffield standard,3,6,Não,0,Público,Partilhado com Micromobilidade,,DEPM,11/23/2018 12:00:00 AM,,0bcd5c58-aa9b-447c-bbf2-8b5399254e91,-1023925.45693198,4686859.86444713
15004,302,302,"Rua Jorge de Sena
",Entrada Nascente Jardim de Santa Clara,Santa Clara,Passeio,BICICLETA,Sheffield standard,5,10,Não,0,Público,Partilhado com Micromobilidade,Equipamento Lazer - Jardim,DEPM,11/27/2018 12:00:00 AM,,4f3efc90-0f46-4729-982e-01e3b9c610c4,-1019779.80025284,4690242.27940012
15005,303,303,"Azinhaga da Cidade
",Junto à entrada do Metro da Ameixoeira,Santa Clara,Passeio,BICICLETA,Sheffield standard,3,6,Não,0,Público,Partilhado com Micromobilidade,Estação Metro,DEPM,11/29/2018 12:00:00 AM,,978e1ba1-65e9-4353-b7c2-0123011476d2,-1019650.13572175,4690191.90426864
15006,304,304,"Avenida Sérgio Vieira de Mello
",Em frente ao talho e lavandaria do outro lado da estrada - Santa casa,Santa Clara,Passeio,BICICLETA,Sheffield standard,3,6,Não,0,Público,Partilhado com Micromobilidade,,DEPM,11/29/2018 12:00:00 AM,,89ad9280-8e85-4748-8a5a-f7e1b422f4be,-1018502.33926761,4690342.20943231
15007,305,305,Estrada Militar,Polidesportivo das Galinheiras,Santa Clara,Passeio,BICICLETA,Sheffield standard,5,10,Não,0,Público,Partilhado com Micromobilidade,Equipamento Desportivo - Polidesportivo,DEPM,11/29/2018 12:00:00 AM,,58f4f358-d6b0-4ca0-95d1-25ba7cc6b0a7,-1018620.71298924,4691664.14512579
15008,306,306,"Campo das Amoreiras, Junta de Freguesia
",Junta de Freguesia de Santa Clara,Santa Clara,Passeio,BICICLETA,Sheffield standard,3,6,Não,0,Público,Partilhado com Micromobilidade,Equipamento Adm. Pública - Junta Freguesia,DEPM,11/29/2018 12:00:00 AM,,f47b75b3-add3-42a0-bd43-dc8d48d55aed,-1017699.53352957,4691128.99460034
15009,307,307,"Campo das Cebolas
","Estacionamento EMEL, no interior",Santa Maria Maior,Via,BICICLETA,Sheffield standard,4,8,Sim,0,Público,Interdito Micromobilidade,,DEPM,12/8/2018 12:00:00 AM,,4c3f90a4-17cd-4d8b-a1eb-f990ea0e5a44,-1016512.03998865,4680047.18484215
15010,308,308,"Rua Jau, 61","CINEL - Centro de Formação Profissional, no interior.",Alcântara,Passeio,BICICLETA,Sheffield standard,7,14,Não,0,Privado,Interdito Micromobilidade,Equipamento Ensino - Escola Profissional,Junta Freguesia,12/13/2018 12:00:00 AM,,5370fb94-0b8c-4045-8d21-06b8a659a78e,-1022825.36508787,4679089.10332955
15011,310,310,"Rua Latino Coelho, 24",,Avenidas Novas,Lugar estacionamento automóvel,BICICLETA,Sheffield standard,2,4,Não,3,Público,Partilhado com Micromobilidade,,DEPM,8/11/2018 12:00:00 AM,,f59e3cd6-2cd4-448f-bd38-5465699a60a4,-1018573.81067587,4683513.08252477
15012,311,311,"Rua Damião de Gois, 3D",No canto do parque de estacionamento,Belém,Via,HOTSPOT,Sheffield standard,4,13,Não,,Público,Partilhado com Micromobilidade,,DEPM,2/20/2019 12:00:00 AM,,0067fa7c-afeb-46c4-af6a-cb1118e571b5,-1026959.69047027,4678525.93939722
15013,312,312,"Praça das Indústrias, Centro de Congressos",Perto canteiro à direita da entrada,Alcântara,Passeio,BICICLETA,Sheffield standard,6,12,Não,0,Público,Partilhado com Micromobilidade,,Junta Freguesia,1/29/2019 12:00:00 AM,,d2cb684c-58c8-48b7-9d16-49cbc65c2e2a,-1022312.96316487,4678696.6493752
15014,313,313,"Rua Martens Ferrão, 11","Cruzamento com Rua de São Sebastião da Pedreira, em frente ao Europa Turim Hotel",Avenidas Novas,Passeio,BICICLETA,Sheffield standard,9,18,Não,,Público,Partilhado com Micromobilidade,,,,,dba2338f-481b-4e2a-8a52-6717063bfa88,-1018416.2483234,4682978.07517448
15015,2538,2538,Avenida Infante Dom Henrique,"Entre estação ferroviária de Santa Apolónia e Armazéns da Gare Marítima de Santa Apolónia, entre caldeiras de árvores perto estacionamento",São Vicente,Passeio,HOTSPOT,,0,20,Não,0,Público,Dedicado Micromobilidade,,DEPM,11/29/2024 12:00:00 AM,HOTSPOT VIRTUAL,ffddf371-cebd-4e82-a06e-506594741962,-1015519.95445429,4680687.8930501
15016,314,314,"Rua Viriato, 12",Cruzamento com Rua Andrade Corvo,Avenidas Novas,Passeio,BICICLETA,Sheffield standard,5,10,Não,0,Público,Partilhado com Micromobilidade,,,,,eedde532-5b5f-4264-af24-50a4eca9ec98,-1018358.91089077,4683122.5742516
15017,315,315,"Rua Viriato, 13H",Separador central,Avenidas Novas,Passeio,BICICLETA,Sheffield standard,4,8,Não,0,Público,Partilhado com Micromobilidade,,,,,74cbae64-8ad2-4944-b1a3-a1d7e656f085,-1018362.74318184,4683147.52869609
15018,316,316,"Rua Viriato, 24",Separador central,Avenidas Novas,Passeio,BICICLETA,Sheffield standard,4,8,Não,0,Público,Partilhado com Micromobilidade,,,,,86281e96-f047-4fe6-b6d7-5714e425e434,-1018324.39920434,4683217.84636156
15019,317,317,"Rua Viriato, 29A",Separador central,Avenidas Novas,Passeio,BICICLETA,Sheffield standard,4,8,Não,0,Público,Partilhado com Micromobilidade,,,,,a19bacef-52a0-4def-a548-885eb73d36b3,-1018267.81593767,4683338.87273395
15020,318,318,Rua Viriato,"Cruzamento com Rua Pinheiro Chagas, lado noroeste da Maternidade Alfredo da Costa",Avenidas Novas,Passeio,BICICLETA,Sheffield standard,5,10,Não,,Público,Partilhado com Micromobilidade,Equipamento Saúde - Hospital,,,,9cd917fa-407f-4921-b21e-44722def8d51,-1018229.15300958,4683472.4549253
15021,319,319,"Praça do Marquês de Pombal, 12",Do lado do canteiro,Santo António,Passeio,HOTSPOT,Sheffield standard,4,13,Não,0,Público,Partilhado com Micromobilidade,,DEPM,3/16/2019 12:00:00 AM,,fb006014-b77c-4507-88c6-5793f66011d2,-1018506.68558124,4682476.53376737
15022,320,320,Praça do Marquês de Pombal,"Cruzamento com Avenida Duque de Loulé, no triângulo entre ciclovia, canteiro e passeio",Santo António,Passeio,HOTSPOT,Sheffield standard,2,9,Não,0,Público,Partilhado com Micromobilidade,,DEPM,3/16/2019 12:00:00 AM,,6c5bf8bd-4344-4f2c-b462-cfa798c5a4cc,-1018486.89311138,4682388.3027626
15023,321,321,"Rua de Diogo Cão, 20",Perto jardim infantil,Alcântara,Passeio,BICICLETA,Sheffield standard,3,6,Não,0,Público,Partilhado com Micromobilidade,Equipamento Lazer - Parque Infantil,Junta Freguesia,1/29/2019 12:00:00 AM,,ec6926be-6e7d-4158-ad55-c05e13e69f75,-1023150.72396908,4679115.5167876
15024,322,322,Avenida de Brasília,Ao lado da estação GIRA do Padrão dos Descobrimentos,Belém,Via,HOTSPOT,Sheffield standard,4,13,Não,,Público,Partilhado com Micromobilidade,Equipamento Cultural - Museu,DEPM,1/28/2018 12:00:00 AM,,22920227-85f2-4c7c-af5d-37eb603d96af,-1024849.24267555,4677863.15799334
15025,323,323,"Rua Fernão Lopes, 1","Último lugar de estacionamento longitudinal junto aos edifícios (caixa MB), antes do cruzamento com Avenida Casal Ribeiro",Arroios,Lugar estacionamento automóvel,HOTSPOT,Sheffield standard,2,4,Não,,Público,Partilhado com Micromobilidade,,DEPM,5/21/2019 12:00:00 AM,,f05b73c6-98ba-4770-9495-033bdc1a4fad,-1017880.98890362,4683471.05549905
15026,324,324,"Rua Chaby Pinheiro, 21","Lugar de estacionamento longitudinal junto aos edifícios, antes da entrada/saída de garagem junto ao entroc. com R. Isidoro Viana",Avenidas Novas,Lugar estacionamento automóvel,HOTSPOT,Sheffield standard,2,9,Não,,Público,Partilhado com Micromobilidade,,DEPM,5/6/2019 12:00:00 AM,,ad4dc2a4-3d40-4896-bc64-dec2aac9eac2,-1018142.43521127,4685138.75807014
15027,325,325,"Rua de Entrecampos, 1","Lugar de estacionamento transversal, junto aos edifícios, antes de lugar de motociclos . ",Avenidas Novas,Lugar estacionamento automóvel,HOTSPOT,Sheffield standard,2,9,Não,,Público,Partilhado com Micromobilidade,,DEPM,5/6/2019 12:00:00 AM,,d01f6a85-ea47-465c-a260-d7040cbf16a1,-1017989.60659642,4685050.12115304
15028,326,326,"Rua Sousa Martins, 1A","Lugar de estacionamento longitudinal junto aos edifícios, antes do cruzamento com Largo das Palmeiras (antes do cruzamento, limita com a luminária)",Arroios,Lugar estacionamento automóvel,HOTSPOT,Sheffield standard,2,9,Não,,Público,Partilhado com Micromobilidade,,DEPM,5/19/2019 12:00:00 AM,,15669e11-1568-4115-8668-ada6eeabcf33,-1018210.32317953,4682817.58705671
15029,328,328,"Avenida dos Defensores de Chaves, 33 C","Lugar de estacionamento oblíquo na placa central, em frente ao 33c (antes da última árvore)",Avenidas Novas,Lugar estacionamento automóvel,HOTSPOT,Sheffield standard,2,9,Não,,Público,Partilhado com Micromobilidade,,DEPM,5/14/2019 12:00:00 AM,,080dd5ec-41df-4657-a666-b3428d87c9cb,-1017852.08454868,4683878.72538865
15030,329,329,"Rua de Santa Marta, 80",No primeiro lugar de estacionamento longitudinal junto aos edifícios,Santo António,Lugar estacionamento automóvel,HOTSPOT,Sheffield standard,2,9,Não,,Público,Partilhado com Micromobilidade,,DEPM,5/19/2019 12:00:00 AM,,1bc5357b-000b-442d-886d-6b11d7ae673d,-1018256.81418221,4682539.27815519
15031,330,330,"Rua Filipe Folque, 24A","Último lugar de estacionamento longitudinal junto aos edifícios, antes do cruzamento com a Rua Latino Coelho (após a entrada/saída garagem)",Avenidas Novas,Lugar estacionamento automóvel,HOTSPOT,Sheffield standard,2,9,Não,,Público,Partilhado com Micromobilidade,,DEPM,5/10/2019 12:00:00 AM,,6a7564c1-554a-419a-9a3e-31bbc8ab8dc3,-1018486.02992855,4683436.05121448
